id,degree_level,family_size,gender,age_cat,marital_status,residence_type,work_type,salary
170,university,7,male,25-34,married,family,full_time,129000
171,senior_high,3,female,25-34,single,family,full_time,139500
172,university,4,female,18-24,single,family,full_time,129000
173,university,3,female,25-34,single,family,entrepreneur,219000
174,university,4,female,25-34,married,family,full_time,64500
175,senior_high,6,female,18-24,single,family,student,199000
176,university,3,female,35-44,married,own,full_time,174400
177,university,4,female,25-34,single,family,full_time,119000
178,diploma,6,female,>45,married,family,full_time,148500
179,university,6,female,25-34,single,family,full_time,139000
180,university,5,female,35-44,single,family,full_time,599200
181,university,6,female,25-34,single,family,full_time,189000
182,university,7,female,35-44,married,family,full_time,224100
183,senior_high,1,female,15-24,single,rent,student,149000
184,senior_high,5,female,35-44,single,family,part_time,129000
185,university,5,female,15-24,single,family,student,149000
186,diploma,4,female,25-34,married,family,full_time,299000
187,university,4,female,25-34,single,family,full_time,349000
188,university,2,female,25-34,married,rent,full_time,99000
189,university,2,female,35-44,married,family,full_time,109500
190,university,3,female,25-34,single,rent,full_time,329000
191,senior_high,3,female,18-24,married,family,housewife,89400
192,senior_high,6,female,25-34,single,family,full_time,209000
193,university,7,male,25-34,single,family,full_time,74250
194,university,2,female,35-44,single,own,full_time,398650
195,university,4,female,25-34,single,family,student,229500
196,senior_high,1,female,25-34,married,rent,full_time,279000
197,senior_high,1,female,18-24,single,kost,student,49500
198,university,5,female,25-34,single,family,entrepreneur,239250
199,senior_high,3,female,18-24,married,family,housewife,107400
200,senior_high,1,female,25-34,single,kost,full_time,129000
201,university,3,female,25-34,single,family,full_time,209000
202,university,1,female,25-34,divorced,rent,jobless,149000
